product_id,product_name,category,brand,popularity_score,inventory_quantity,supplier_name,unit_price,cost_price,is_active
P000001,Perfume,Beauty,Zenith,0.551,1236,Vertex Imports,228.92,12660.98,False
P000002,Snacks,Grocery,Fusion,0.401,192,Apex Manufacturing,7449.36,8494.07,False
P000003,Perfume,Beauty,Apex,0.312,798,Retail Source India,11196.28,6824.34,True
P000004,Yoga Mat,Sports,Urban,0.78,525,Retail Source India,21527.05,8990.39,True
P000005,Football,Sports,Vision,0.687,41,Apex Manufacturing,39252.91,7542.67,True
P000006,Lipstick,Beauty,Zenith,0.705,469,Vertex Imports,6621.35,24439.8,True
P000007,Snacks,Grocery,Zenith,0.724,252,Retail Source India,3550.65,25908.12,True
P000008,Table,Home,EcoLife,0.358,801,Apex Manufacturing,47728.79,13898.03,True
P000009,Monitor,Electronics,Vision,0.261,509,Apex Manufacturing,36458.41,23439.72,True
P000010,Table,Home,Nova,0.356,231,Apex Manufacturing,28612.2,27880.21,True
P000011,Lipstick,Beauty,Zenith,0.544,565,Retail Source India,622.18,25951.94,True
P000012,Lamp,Home,Urban,0.652,1031,Vertex Imports,9686.99,25183.92,True
P000013,Phone,Electronics,Zenith,0.449,668,Global Supplies Ltd,24052.9,10175.25,True
P000014,Cricket Bat,Sports,Urban,0.335,333,Global Supplies Ltd,15282.48,27225.02,True
P000015,Shelf,Home,Vision,0.405,1170,Vertex Imports,18445.4,28547.8,False
P000016,Lipstick,Beauty,Vision,0.525,1234,Apex Manufacturing,5088.32,27871.97,True
P000017,Tennis Racket,Sports,Vision,0.197,841,Retail Source India,22649.87,1756.67,True
P000018,Laptop,Electronics,Fusion,0.107,190,Apex Manufacturing,12743.16,24284.08,True
P000019,Chair,Home,Fusion,0.659,236,Retail Source India,22731.92,24990.21,False
P000020,Yoga Mat,Sports,Fusion,0.816,19,Apex Manufacturing,14062.78,9339.41,False
P000021,Tea,Grocery,Vision,0.807,1308,Apex Manufacturing,38039.18,1385.99,True
P000022,Chair,Home,Fusion,0.756,1479,Apex Manufacturing,16733.22,22660.16,False
P000023,Cap,Fashion,Urban,0.328,0,Vertex Imports,27187.97,26912.31,True
P000024,Cream,Beauty,Zenith,0.745,444,Global Supplies Ltd,27115.92,29725.27,False
P000025,Monitor,Electronics,Apex,0.378,105,Apex Manufacturing,29758.14,25468.87,True
P000026,Lipstick,Beauty,Apex,0.784,846,Global Supplies Ltd,5348.79,1584.19,False
P000027,Cricket Bat,Sports,Zenith,0.541,1379,Vertex Imports,20974.55,13866.97,False
P000028,Chair,Home,Nimbus,0.424,1038,Vertex Imports,13491.32,29669.97,True
P000029,Sofa,Home,Nimbus,0.631,1403,Apex Manufacturing,26468.39,10498.8,False
P000030,Headphones,Electronics,Fusion,0.744,1492,Retail Source India,9181.62,25971.78,False
P000031,Phone,Electronics,Prime,0.872,1122,Apex Manufacturing,1785.12,23037.52,False
P000032,Yoga Mat,Sports,Zenith,0.68,959,Global Supplies Ltd,37867.75,6193.36,False
P000033,Table,Home,Zenith,0.608,376,Apex Manufacturing,3580.98,23570.47,True
P000034,Tennis Racket,Sports,Urban,0.336,1134,Retail Source India,21030.2,5663.57,True
P000035,Cricket Bat,Sports,Prime,0.487,335,Prime Distribution,9710.36,28252.14,True
P000036,Headphones,Electronics,Vision,0.69,470,Vertex Imports,14068.16,725.6,False
P000037,Snacks,Grocery,Fusion,0.664,529,Prime Distribution,34034.54,119.07,True
P000038,Rice,Grocery,Urban,0.589,802,Vertex Imports,38948.55,17983.63,True
P000039,Sofa,Home,Vision,0.616,99,Global Supplies Ltd,39294.95,25851.5,True
P000040, Jeans ,Fashion,EcoLife,0.523,1088,Apex Manufacturing,39015.63,10252.25,True
P000041,Monitor,Electronics,EcoLife,0.773,524,Prime Distribution,18169.29,28894.41,True
P000042,Face Wash,Beauty,Urban,0.456,909,Apex Manufacturing,38030.62,9115.36,True
P000043,Shirt,Fashion,Nova,0.615,868,Retail Source India,26548.7,28819.53,False
P000044,Headphones,Electronics,Nova,0.44,1208,Prime Distribution,8522.31,7510.74,True
P000045,Football,Sports,Elite,0.693,1468,Vertex Imports,28053.11,28935.52,True
P000046,Lipstick,Beauty,Prime,0.649,966,Retail Source India,26271.73,14546.88,False
P000047,Lamp,Home,Elite,0.459,322,Vertex Imports,28412.46,23926.25,True
P000048,Face Wash,Beauty,Zenith,0.859,1182,Apex Manufacturing,15554.5,3489.92,True
P000049,Chair,Home,Prime,0.65,1037,Global Supplies Ltd,23603.27,630.61,True
P000050,Rice,Grocery,EcoLife,0.619,693,Global Supplies Ltd,7588.14,685.01,True
P000051,Juice,Grocery,Nova,0.284,1001,Vertex Imports,14948.12,28416.11,True
P000052,Football,Sports,Zenith,0.692,1348,Global Supplies Ltd,2872.13,26646.98,False
P000053,Football,Sports,Zenith,0.511,36,Global Supplies Ltd,17840.03,12202.33,False
P000054,Shirt,Fashion,Nova,0.441,1477,Apex Manufacturing,2864.57,16059.89,True
P000055,Shoes,Fashion,Vision,0.416,1173,Vertex Imports,25433.66,14827.67,True
P000056,Tea,Grocery,Fusion,0.646,1319,Global Supplies Ltd,21369.61,23878.85,True
P000057,Jeans,Fashion,Nimbus,0.37,275,Apex Manufacturing,24322.79,8073.34,True
P000058,Lipstick,Beauty,Nimbus,0.699,14,Global Supplies Ltd,18312.63,21684.89,False
P000059,Cricket Bat,Sports,Zenith,0.717,56,Retail Source India,6543.42,2254.74,True
P000060,Laptop,Electronics,EcoLife,0.371,1482,Vertex Imports,6403.76,6844.0,True
P000061,Cream,Beauty,Nova,0.8,1178,Prime Distribution,37722.15,17585.44,True
P000062,Face Wash,Beauty,Urban,0.647,1293,Vertex Imports,45732.83,24326.09,True
P000063,Yoga Mat,Sports,Nimbus,0.705,170,Vertex Imports,30116.94,29209.19,False
P000064,Jacket,Fashion,Zenith,0.499,226,Vertex Imports,45745.54,9005.85,False
P000065,Sofa,Home,Prime,0.556,708,Retail Source India,4078.45,27774.0,True
P000066,Rice,Grocery,Apex,0.709,962,Apex Manufacturing,11858.16,27723.93,False
P000067,Juice,Grocery,Zenith,0.388,528,Vertex Imports,9644.34,9206.21,True
P000068,Shoes,Fashion,Zenith,0.637,337,Retail Source India,48726.86,11322.93,False
P000069,Phone,Electronics,Fusion,0.758,629,Prime Distribution,44726.92,26003.14,True
P000070,Lamp,Home,Nimbus,0.227,463,Vertex Imports,46411.98,19435.86,True
P000071,Chair,Home,Nimbus,0.82,103,Global Supplies Ltd,36077.65,17050.34,True
P000072, Perfume ,Beauty,Urban,0.617,978,Apex Manufacturing,6459.5,26375.48,False
P000073,Tennis Racket,Sports,Prime,0.339,535,Retail Source India,7774.11,1039.94,False
P000074,Perfume,Beauty,Nimbus,0.761,1470,Vertex Imports,46155.33,18904.4,True
P000075,Headphones,Electronics,Prime,0.607,222,Global Supplies Ltd,37631.89,5571.18,True
P000076,Cricket Bat,Sports,Elite,0.465,672,Apex Manufacturing,28621.74,23649.39,True
P000077,Rice,Grocery,Apex,0.339,1250,Prime Distribution,10949.64,9932.28,True
P000078,Yoga Mat,Sports,Prime,0.374,1103,Prime Distribution,41719.8,28886.67,True
P000079,Cream,Beauty,Fusion,0.855,985,Apex Manufacturing,39882.79,2518.48,True
P000080,Shelf,Home,Nova,0.776,340,Apex Manufacturing,38480.49,4947.6,True
P000081,Tennis Racket,Sports,Vision,0.567,21,Global Supplies Ltd,36013.18,4340.32,True
P000082,Perfume,Beauty,,0.586,928,Apex Manufacturing,3470.93,25229.3,True
P000083,Shirt,Fashion,EcoLife,0.62,1445,Vertex Imports,15973.13,19776.83,True
P000084,Snacks,Grocery,Prime,0.703,255,Apex Manufacturing,31000.24,17980.8,True
P000085,Coffee,Grocery,Urban,0.788,548,Retail Source India,11309.23,5933.76,True
P000086,Tea,Grocery,Nimbus,0.163,654,Prime Distribution,36993.15,20172.47,True
P000087,Coffee,Grocery,EcoLife,0.608,1421,Prime Distribution,16785.26,5983.93,True
P000088,Chair,Home,Zenith,0.443,697,Prime Distribution,31490.66,25155.8,True
P000089,Laptop,Electronics,Vision,0.58,207,Prime Distribution,7711.1,22756.68,True
P000090,Tablet,Electronics,EcoLife,0.549,1463,Apex Manufacturing,7948.4,7289.74,True
P000091,Phone,Electronics,Elite,0.566,257,Prime Distribution,41092.82,9833.27,True
P000092,Tennis Racket,Sports,Urban,0.888,664,Retail Source India,42974.05,1671.46,True
