store_id,store_name,city,state,region,opening_date
S001,Mumbai Store 1,Mumbai,Maharashtra,East,2026-07-23
S002,Chennai Store 2,Chennai,Tamil Nadu,West,2026-07-23
S003,Bengaluru Store 3,Bengaluru,Karnataka,South,2026-07-23
S004,Jaipur Store 4,Jaipur,Rajasthan,South,2026-07-23
S005,Kolkata Store 5,Kolkata,West Bengal,South,2026-07-23
S006,Mumbai Store 6,Mumbai,Maharashtra,West,2026-07-23
S007,Bengaluru Store 7,Bengaluru,Karnataka,North,2026-07-23
S008,Pune Store 8,Pune,Maharashtra,West,2026-07-23
S009,Jaipur Store 9,Jaipur,Rajasthan,West,2026-07-23
S010,Ahmedabad Store 10,Ahmedabad,Gujarat,West,2026-07-23
S011,Delhi Store 11,Delhi,Delhi,South,2026-07-23
S012,Mumbai Store 12,Mumbai,Maharashtra,West,2026-07-23
S013,Coimbatore Store 13,Coimbatore,Tamil Nadu,East,2026-07-23
S014,Chennai Store 14,Chennai,Tamil Nadu,West,2026-07-23
S015,Jaipur Store 15,Jaipur,Rajasthan,North,2026-07-23
S016,Delhi Store 16,Delhi,Delhi,West,2026-07-23
S017,Pune Store 17,Pune,Maharashtra,East,2026-07-23
S018,Hyderabad Store 18,Hyderabad,Telangana,South,2026-07-23
S019,Chennai Store 19,Chennai,Tamil Nadu,South,2026-07-23
S020,Mumbai Store 20,Mumbai,Maharashtra,East,2026-07-23
S021,Chennai Store 21,Chennai,Tamil Nadu,North,2026-07-23
S022,Hyderabad Store 22,Hyderabad,Telangana,South,2026-07-23
S023,Hyderabad Store 23,Hyderabad,Telangana,North,2026-07-23
S024,Chennai Store 24,Chennai,Tamil Nadu,North,2026-07-23
S025,Bengaluru Store 25,Bengaluru,Karnataka,South,2026-07-23
S026,Delhi Store 26,Delhi,Delhi,South,2026-07-23
S027,Delhi Store 27,Delhi,Delhi,North,2026-07-23
S028,Pune Store 28,Pune,Maharashtra,South,2026-07-23
S029,Hyderabad Store 29,Hyderabad,Telangana,North,2026-07-23
S030,Hyderabad Store 30,Hyderabad,Telangana,North,2026-07-23
S031,Pune Store 31,Pune,Maharashtra,North,2026-07-23
S032,Bengaluru Store 32,Bengaluru,Karnataka,North,2026-07-23
S033,Coimbatore Store 33,Coimbatore,Tamil Nadu,North,2026-07-23
S034,Jaipur Store 34,Jaipur,Rajasthan,East,2026-07-23
S035,Chennai Store 35,Chennai,Tamil Nadu,West,2026-07-23
S036,Kolkata Store 36,Kolkata,West Bengal,East,2026-07-23
S037,Jaipur Store 37,Jaipur,Rajasthan,South,2026-07-23
S038,Pune Store 38,Pune,Maharashtra,West,2026-07-23
S039,Bengaluru Store 39,Bengaluru,Karnataka,East,2026-07-23
S040,Chennai Store 40,Chennai,Tamil Nadu,North,2026-07-23
S041,Coimbatore Store 41,Coimbatore,Tamil Nadu,North,2026-07-23
S042,Delhi Store 42,Delhi,Delhi,East,2026-07-23
S043,Hyderabad Store 43,Hyderabad,Telangana,West,2026-07-23
S044,Chennai Store 44,Chennai,Tamil Nadu,West,2026-07-23
S045,Coimbatore Store 45,Coimbatore,Tamil Nadu,South,2026-07-23
S046,Bengaluru Store 46,Bengaluru,Karnataka,West,2026-07-23
S047,Delhi Store 47,Delhi,Delhi,East,2026-07-23
S048,Ahmedabad Store 48,Ahmedabad,Gujarat,North,2026-07-23
S049,Ahmedabad Store 49,Ahmedabad,Gujarat,East,2026-07-23
S050,Jaipur Store 50,Jaipur,Rajasthan,East,2026-07-23
